,STATE_ZONE,Mixing_heights,Date,Time,PILS
156,.DSCU,8600,8/23/2013,1315,MSO
157,.DSCU,7500,8/23/2013,1719,MSO
158,.DSCU,7200,8/23/2013,2225,MSO
159,.DSCU,7700,8/23/2013,2249,MSO
169,S$,7000,8/23/2013,1221,TFX
170,.DSCU,6500,8/18/2011,1520,TFX
172,FOECA,7000,8/5/2018,901,RIW
173,FOECA, ,8/5/2018,1007,RIW
174,FOECA,9400,8/5/2018,1101,RIW
175,FOECA,11400,8/5/2018,1752,RIW
176,.DSCU,10700,8/27/2012,323,MSO
177,.DSCU,84500,8/27/2012,1008,MSO
178,.DSCU,6500,8/27/2012,1547,MSO
179,.DSCU,7700,8/27/2012,1912,MSO
180,.DSCU,4900,8/27/2012,2013,MSO
181,.DSCU,10900,8/27/2012,2156,MSO
182,.DSCU,10000,7/16/2014,958,PIH
183,.DSCU,7400,7/16/2014,1053,PIH
184,.DSCU,7000,7/16/2014,1123,PIH
185,.DSCU,9700,7/16/2014,1650,MSO
186,.DSCU,9500,7/16/2014,2011,MSO
193,.DSCU,7900,8/14/2007,1757,MSO
194,.DSCU,7300,8/14/2007,1948,MSO
195,.DSCU,12000,8/12/2018,1236,MSO
196,.DSCU,11500,8/12/2018,1253,MSO
197,.DSCU,7000,8/12/2018,2212,MSO
198,.DSCU,13500,8/12/2018,2311,MSO
199,.DSCU,9500,8/8/2019,1650,MSO
208,SHWER,7800,8/30/2007,1617,MSO
241,.DSCU,9500,7/29/2013,1147,TFX
242,.DSCU,5500,7/29/2013,2057,TFX
243,.DSCU,7500,8/30/2007,1830,TFX
247,Toay , ,8/19/2018,1621,OTX
248,Pror ,5900,8/19/2018,1939,OTX
249,.DSCU,2000,9/10/2017,1029,OTX
250,.DSCU,2000,9/10/2017,1047,OTX
251,.DSCU,5000,9/3/2012,1128,MSO
252,.DSCU,10000,8/9/2017,1048,PIH
253,.DSCU,11900,8/9/2017,2214,PIH
254,.DSCU,8000,8/3/2018,1911,BOI
255,.DSCU,7000,8/3/2018,1023,PIH
256,.DSCU,8800,8/18/2012,1000,PIH
260,FRDAY,6000,8/2/2012,102,MSO
261,FRDAY,6000,8/2/2012,212,MSO
262,.DSCU,6500,8/2/2012,1442,MSO
263,.DSCU,5600,8/2/2012,1527,MSO
264,.DSCU,6000,8/2/2012,1854,MSO
266,.DSCU,5300,8/18/2006,1814,MSO
267,.DSCU,5000,8/18/2012,1210,MSO
268,.DSCU,3000,8/18/2012,1419,MSO
269,.DSCU,3000,8/18/2012,1428,MSO
270,.DSCU,5200,8/18/2012,1924,MSO
273,Wids ,7000,8/22/2016,1254,MSO
274,.DSCU,5500,8/22/2016,2305,MSO
275,.DSCU,13000,8/9/2017,1311,MSO
276,.DSCU,12000,8/9/2017,1842,MSO
277,.DSCU,10500,8/9/2017,1911,MSO
278,.DSCU,7000,9/10/2017,1047,MSO
279,.DSCU,5500,9/10/2017,1106,MSO
280,.DSCU,5500,9/10/2017,1139,MSO
281,Wid g,5500,9/10/2017,1504,MSO
282,Dr co,5000,9/10/2017,1711,MSO
283,Afern,5500,9/10/2017,2049,MSO
315,FOECA,8500,9/10/2011,1723,MSO
316,.DSCU,7100,9/10/2011,2034,MSO
317,.DSCU,10100,9/10/2011,2251,MSO
318,.DSCU,8100,9/10/2011,2332,MSO
334,.DSCU,9000,9/1/2017,1047,MSO
335,.DSCU,6500,9/1/2017,1056,MSO
336,Wet a,6000,9/1/2017,1514,MSO
337,Afern,6500,9/1/2017,1733,MSO
338,.DSCU,8500,8/27/2015,1057,MSO
339,A eri,0,8/27/2015,1136,MSO
340,.DSCU,5000,8/27/2015,1229,MSO
341,.DSCU,6000,8/27/2015,1445,MSO
342,.DSCU,6000,8/27/2015,1539,MSO
343,.DSCU,7000,8/27/2015,1642,MSO
344,.DSCU,7000,8/27/2015,1818,MSO
345,.DSCU,6000,8/27/2015,1902,MSO
346,.DSCU,7000,8/27/2015,2058,MSO
347,.DSCU,12500,9/8/2011,1523,BOI
350,.DSCU,7000,9/1/2017,1244,BOI
353,.DSCU,5500,8/26/2018,1037,BOI
354,.DSCU,4500,8/26/2018,2113,BOI
359,.DSCU,2800,8/23/2008,1720,MSO
360,.DSCU,4100,8/23/2008,1941,MSO
361,.DSCU,14000,8/19/2020,1527,ABQ
363,.DSCU,11000,8/10/2018,1401,OTX
364,.DSCU, ,8/10/2018,1435,OTX
365,Toay ,6500,8/10/2018,1442,OTX
366,.DSCU,4400,8/10/2018,1839,OTX
367,.DSCU,8600,8/10/2018,1952,OTX
368,.DSCU,6000,8/10/2018,2007,OTX
369,.DSCU,8300,8/10/2018,2048,OTX
370,.DSCU,7900,8/10/2018,2134,OTX
379,.DSCU,3600,8/25/2012,1704,OTX
380,**THU,5000,8/25/2012,2011,PDT
381,**THU,5000,8/25/2012,2013,PDT
382,.DSCU,4500,9/4/2013,1048,BOI
383,.DSCU,6000,9/4/2013,2219,BOI
384,.DSCU,10000,8/1/2018,1128,BOI
385,.DSCU,9500,8/1/2018,1128,BOI
388,.DSCU,12500,8/30/2017,2025,PDT
389,.DSCU,9100,8/1/2018,1113,PDT
390,.DSCU,4250,8/1/2018,1547,PDT
401,.DSCU,3500,8/30/2011,108,OTX
402,.DSCU,6500,8/30/2011,625,OTX
405,Th ne, ,8/17/2018,1622,OTX
406,.DSCU,8000,8/17/2018,1727,OTX
407,Anexi,5000,8/17/2018,2043,OTX
408,.DSCU,7500,8/17/2018,2056,OTX
409,.DSCU,4600,8/30/2017,1118,OTX
413,,6600,8/30/2017,1158,OTX
414,.DSCU,4800,8/30/2017,1225,OTX
415,Toay ,4500,8/30/2017,1258,OTX
419,.DSCU,7400,8/30/2017,1804,OTX
420,Thnde,4000,8/30/2017,2118,OTX
421,.DSCU,6000,8/6/2014,136,OTX
428,A OOL,5000,8/16/2006,1907,OTX
441,Sk/we,4500,8/1/2018,1217,OTX
442,Weter,2800,8/1/2018,1251,OTX
443,Th ri, ,8/1/2018,1446,OTX
444,Th ri, ,8/1/2018,1453,OTX
445,.DSCU,3100,8/1/2018,1501,OTX
446,Th ri,4000,8/1/2018,1519,OTX
447,Th ri,4000,8/1/2018,1530,OTX
448,.DSCU,8200,8/1/2018,1850,OTX
449,A idg,3500,8/1/2018,1948,OTX
450,A idg,5500,8/1/2018,2237,OTX
475,.DSCU,12500,8/22/2020,1556,MSO
476,.DSCU,4500,8/22/2020,1624,MSO
477,.DSCU,5000,8/22/2020,1844,MSO
478,.DSCU,6500,8/22/2020,2212,MSO
479,Foeca,6500,8/22/2020,1636,BOI
480,.DSCU,9500,8/22/2020,1850,BOI
487,.DSCU,5000,8/20/2015,1426,MSO
488,.DSCU,7500,8/20/2015,1545,MSO
489,.DSCU,6000,8/20/2015,1729,MSO
490,Menwh,7500,8/20/2015,2016,MSO
507,.DSCU,11500,8/20/2015,1235,TFX
508,Foeca,6600,8/24/2018,1253,REV
509,.DSCU,12500,8/24/2018,820,LKN
510,.DSCU,8000,8/23/2006,1359,BOI
514,.DSCU,7500,8/23/2006,1501,BOI
515,.DSCU,11500,8/23/2006,1548,BOI
516,.DSCU,11500,8/23/2006,1555,BOI
517,.DSCU,11500,8/23/2006,1629,BOI
518,.DSCU,11000,8/23/2006,1705,BOI
519,DICUS,11000,8/23/2006,1750,BOI
520,.DSCU,11000,8/23/2006,1815,BOI
521,.DSCU,11500,8/23/2006,1816,BOI
522,.DSCU,10500,8/23/2006,1831,BOI
526,.DSCU,5000,9/9/2018,1858,BOI
527,.DSCU,5000,9/9/2018,2053,BOI
528,.DSCU,9000,8/24/2018,1016,BOI
529,.DSCU,9000,8/24/2018,1743,BOI
530,.DSCU,8500,8/24/2018,1840,BOI
531,.DSCU,10500,8/8/2018,1010,BOI
532,.DSCU,10500,8/8/2018,1433,BOI
533,.DSCU,14500,9/6/2017,2102,BOI
534,**THU,10000,8/2/2010,1840,PDT
535,.DSCU,13000,9/6/2017,1727,PDT
540, Frec,3050,9/6/2017,1732,SEW
541,.DSCU,7500,8/16/2015,1517,OTX
542,.DSCU,8800,8/16/2015,1933,OTX
543,DR AN,4500,8/16/2015,2152,OTX
549,**THU,6000,8/16/2015,225,PDT
550,**THU,3000,8/16/2015,933,PDT
551,**THU,4500,8/16/2015,955,PDT
552,**THU,5000,8/16/2015,1454,PDT
553,**THU,6000,8/16/2015,1729,PDT
566,.DSCU,4500,8/10/2013,1300,OTX
567,.DSCU,7000,8/10/2013,1956,OTX
568,.DSCU,4500,8/2/2010,1721,OTX
575,Ho an,6500,8/8/2018,1733,OTX
576,.DSCU,5400,8/8/2018,1813,OTX
577,.DSCU,8000,8/8/2018,2050,OTX
578,.DSCU,6100,8/8/2018,2252,OTX
582,.DSCU,2400,9/6/2017,1154,OTX
583,Hih p,2500,9/6/2017,1256,OTX
584,Hih p,2400,9/6/2017,1853,OTX
591,.DSCU,0,8/12/2011,45,HNX
592,.DSCU,7000,8/12/2011,145,HNX
593,**THU,11500,8/25/2010,1706,PDT
594,**THU,4500,8/25/2010,1848,PDT
595,**THU,4500,8/25/2010,1852,PDT
596,.DSCU,1600,8/15/2018,1133,PDT
597,**THU,8500,8/23/2015,1605,PDT
598,.DSCU,11500,8/4/2014,1527,PDT
599,**THU,10500,8/4/2014,1829,PDT
600,**THU,9500,8/4/2014,1848,PDT
601,**THU,5000,8/4/2014,2330,PDT
602,**SPO,7000,8/4/2014,1301,MFR
607,**THU,4500,9/13/2011,1749,PDT
619,.DSCU,8050,8/5/2017,1110,PDT
620,.DSCU,10000,8/5/2017,1220,PDT
621,.DSCU,7850,8/5/2017,1543,PDT
622,.DSCU,9300,8/5/2017,2055,PDT
623,**THU,7500,9/16/2009,1300,PDT
624,**THU,7500,9/16/2009,1302,PDT
625,**THU,6000,9/16/2009,1705,PDT
638,.DSCU,5600,8/15/2018,804,SEW
650,Th fi,2600,8/5/2017,734,OTX
651,.DSCU,3500,8/5/2017,1714,OTX
652,Smke ,4500,8/5/2017,2030,OTX
653,.DSCU,6000,9/7/2018,1108,STO
654,.DSCU,7500,8/21/2012,1239,STO
655,.DSCU,4500,8/21/2012,1304,STO
661,.DSCU,9600,8/6/2018,2304,MFR
663,.DSCU,7000,8/22/2018,2206,MFR
664,**THU,3500,8/28/2011,1254,PDT
665,**THU,10500,8/28/2011,1600,PDT
666,**THU,5500,8/27/2014,10,PDT
667,**THU,5500,8/27/2014,1110,PDT
668,**THU,6000,8/27/2014,1200,PDT
670,.DSCU,7000,8/27/2014,1702,MFR
678,**THU,8000,9/23/2009,1055,PDT
679,**THU,8000,9/23/2009,1230,PDT
680,**THU,8000,9/23/2009,1231,PDT
686,.DSCU,10500,8/19/2017,1356,MFR
687,Th fl,2500,8/19/2017,1445,MFR
691,.DSCU,3000,8/19/2017,1930,MFR
692,.DSCU,14000,9/4/2017,1346,MFR
693,.DSCU,14000,9/4/2017,2021,MFR
694,.DSCU,15000,9/4/2017,2324,MFR
695,.DSCU,7000,8/13/2009,405,HNX
696,.DSCU,9000,8/13/2009,531,HNX
697,.DSCU,9000,8/13/2009,558,HNX
698,.DSCU,8000,8/13/2009,637,HNX
703,.DSCU,7000,8/29/2009,502,HNX
736,.DSCU,10000,7/30/2013,1428,MFR
737,.DSCU,6000,8/28/2012,1236,STO
738,.DSCU,9000,8/20/2020,1033,VEF
739,.DSCU,14000,8/20/2020,1937,VEF
740,.DSCU,6750,8/5/2015,451,STO
741,FOECA,5000,8/5/2015,1021,STO
742,.DSCU,5200,7/17/2014,1422,STO
744,A ry ,7750,8/20/2020,1009,REV
745,.DSCU,9000,8/20/2020,2127,REV
747,.DSCU, ,8/5/2015,1241,MFR
748,.DSCU,3500,8/5/2015,1319,MFR
749,.DSCU, ,8/5/2015,1500,MFR
750,FOECA, ,8/5/2015,1550,MFR
751,.DSCU,3750,8/5/2015,1632,MFR
752,.DSCU,3750,8/5/2015,1634,MFR
753,.DSCU,3750,8/5/2015,2042,MFR
754,.DSCU,5000,9/3/2014,1321,MFR
755,.DSCU,8900,8/2/2014,1331,MFR
757,.DSCU,7000,8/17/2008,1944,MFR
758,.DSCU,7000,8/17/2008,1944,MFR
773,.DSCU,7000,8/17/2008,2001,MFR
774,.DSCU,4000,9/11/2011,1,MFR
775,.DSCU,10800,9/11/2011,1105,MFR
776,DICUS, ,9/11/2011,1657,MFR
777,Foeca, ,8/26/2017,1054,MFR
779,.DSCU,3400,8/5/2015,1722,EKA
856,A ow ,4750,9/27/2018,1844,MFR
859,.DSCU,1200,9/10/2020,1003,LOX
863,.DSCU,5750,8/2/2020,1759,STO
864,Wam a,8600,8/2/2020,1135,REV
865,Teper,10200,8/2/2020,1137,REV
868,.DSCU,4000,9/10/2020,1557,PDT
870,Sk/we,1000,9/10/2020,850,MFR
871,.DSCU,6000,9/10/2020,1746,MFR
872,.DSCU,3500,9/10/2020,1950,MFR
873,.DSCU,3200,9/10/2020,1204,SEW
874,Plase,2800,9/10/2020,1449,SEW
875,.DSCU,0,9/10/2020,1604,SEW
876,.DSCU,1300,9/10/2020,1945,SEW
885,.DSCU,4300,8/23/2020,2204,STO
890,.DSCU,5000,9/5/2020,1302,MFR
891,.DSCU,5250,8/23/2020,1128,EKA
892,.DSCU,900,8/23/2020,1427,MTR
893,.DSCU,0,8/23/2020,1655,MTR
