OID_,Latitude,Longitude,Altitude_ft_asl,Aerosol_Type,Altitude_km_AGL
114,46.687299682877423,-115.670769338457390,2.950000000000000,3,1.7770535
115,46.690256816026043,-115.671891850674569,2.950000000000000,3,1.7648367
116,46.693213348604310,-115.673012514323176,2.950000000000000,3,1.7283939
117,46.696168973241861,-115.674131053520213,2.950000000000000,3,1.7250791
118,46.699123382568359,-115.675247192382813,2.950000000000000,3,1.7210016
119,46.702076344729029,-115.676360740759378,2.950000000000000,3,1.7522067
120,46.705027929931767,-115.677471851424443,2.950000000000000,3,1.7186644
121,46.707978283900005,-115.678580762883882,2.950000000000000,3,1.6498526
122,46.710927552357212,-115.679687713643574,2.950000000000000,3,1.6237040
123,46.713875881026894,-115.680792942209536,2.950000000000000,3,1.5665579
124,46.716823415632533,-115.681896687087701,2.950000000000000,3,1.6881572
125,46.719770301897569,-115.682999186783874,2.950000000000000,3,1.6929463
126,46.766948836578983,-115.700648737503201,4.810000000000000,5,3.8064904
127,46.769905987358200,-115.701759897717224,4.810000000000000,5,3.7842736
128,46.772864861635313,-115.702872447832902,4.810000000000000,5,3.7380233
129,46.775825577224495,-115.703986442131495,4.810000000000000,5,3.7719622
130,46.778788251939858,-115.705101934894117,4.810000000000000,5,3.7561927
131,46.781753003595540,-115.706218980401843,4.810000000000000,5,3.7196927
132,46.784719950005652,-115.707337632935847,4.810000000000000,5,3.6652558
133,46.787689208984382,-115.708457946777358,4.810000000000000,5,3.6456230
134,46.790660788313211,-115.709579929651653,4.810000000000000,5,3.5644095
135,46.793634255643283,-115.710703403061359,4.810000000000000,5,3.4514158
136,46.796609068593085,-115.711828141953120,4.810000000000000,5,3.4293664
137,46.799584684781138,-115.712953921273694,4.810000000000000,5,3.3675506
138,46.802560561825963,-115.714080515969883,4.810000000000000,5,3.4116917
139,46.805536157346083,-115.715207700988458,4.810000000000000,5,3.4076014
140,46.808510928959969,-115.716335251276092,4.810000000000000,5,3.4516795
141,46.811484334286149,-115.717462941779573,4.810000000000000,5,3.5174839
142,46.814455830943153,-115.718590547445686,4.810000000000000,5,3.4156573
143,46.817424876549467,-115.719717843221105,4.810000000000000,5,3.4909122
144,46.820390928723612,-115.720844604052644,4.810000000000000,5,3.5947428
145,46.823353445084109,-115.721970604887090,4.810000000000000,5,3.5678017
146,46.826311883249460,-115.723095620671103,4.810000000000000,5,3.6712198
147,46.829265700838164,-115.724219426351482,4.810000000000000,5,3.7723956
148,46.832214355468757,-115.725341796875000,4.810000000000000,5,3.7087004
149,46.835157499749656,-115.726462588481738,4.810000000000000,5,3.7511871
150,46.838095566249152,-115.727581982585377,4.810000000000000,5,3.8052030
151,46.841029182525361,-115.728700241892923,4.810000000000000,5,3.7863970
152,46.843958976136477,-115.729817629111366,4.810000000000000,5,3.8307681
